id,year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit,serial_number,serial_number_1
2134,2017,C,Manufacturing,a_0,Total expenditure,2061,DOLLARS(millions),44,44
2165,2020,C,Manufacturing,e_20-49,Total expenditure,11355,DOLLARS(millions),45,45
2353,2019,C,Manufacturing,d_10-19,Rolling mean employees,25422,COUNT,46,46
2373,2021,C,Manufacturing,f_50-99,Rolling mean employees,31212,COUNT,47,47
2375,2021,C,Manufacturing,h_200+,Rolling mean employees,96207,COUNT,48,48
2407,2014,C,Manufacturing,d_10-19,Salaries and wages paid,1179,DOLLARS(millions),49,49
2418,2015,C,Manufacturing,f_50-99,Salaries and wages paid,1620,DOLLARS(millions),50,50
2444,2018,C,Manufacturing,e_20-49,Salaries and wages paid,1938,DOLLARS(millions),51,51
2496,2013,C,Manufacturing,c_6-9,Operating profit before tax,166,DOLLARS(millions),52,52
2578,2011,C,Manufacturing,d_10-19,"Sales, government funding, grants and subsidies",4407,DOLLARS(millions),53,53
2647,2019,C,Manufacturing,a_0,"Sales, government funding, grants and subsidies",3108,DOLLARS(millions),54,54
2675,2011,D,"Electricity, Gas, Water and Waste Services",b_1-5,Total assets,435,DOLLARS(millions),55,55
2815,2015,D,"Electricity, Gas, Water and Waste Services",g_100-199,Total income,1207,DOLLARS(millions),56,56
2821,2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total income,156,DOLLARS(millions),57,57
2897,2013,D,"Electricity, Gas, Water and Waste Services",h_200+,Activity unit,15,COUNT,58,58
3054,2020,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total expenditure,107,DOLLARS(millions),59,59
3145,2019,D,"Electricity, Gas, Water and Waste Services",d_10-19,Fixed tangible assets,577,DOLLARS(millions),60,60
3208,2015,D,"Electricity, Gas, Water and Waste Services",d_10-19,Rolling mean employees,576,COUNT,61,61
3217,2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Rolling mean employees,630,COUNT,62,62
3344,2019,D,"Electricity, Gas, Water and Waste Services",e_20-49,Salaries and wages paid,67,DOLLARS(millions),63,63
3369,2011,D,"Electricity, Gas, Water and Waste Services",c_6-9,Operating profit before tax,20,DOLLARS(millions),64,64
3381,2012,D,"Electricity, Gas, Water and Waste Services",f_50-99,Operating profit before tax,91,DOLLARS(millions),65,65
3547,2020,D,"Electricity, Gas, Water and Waste Services",a_0,"Sales, government funding, grants and subsidies",1487,DOLLARS(millions),66,66
3576,2012,E,Construction,c_6-9,Total assets,1317,DOLLARS(millions),67,67
3598,2014,E,Construction,g_100-199,Total assets,1516,DOLLARS(millions),68,68
3714,2016,E,Construction,f_50-99,Total income,3871,DOLLARS(millions),69,69
3736,2019,E,Construction,a_0,Total income,13466,DOLLARS(millions),70,70
3753,2020,E,Construction,i_Industry_Total,Total income,71627,DOLLARS(millions),71,71
3783,2013,E,Construction,c_6-9,Activity unit,2163,COUNT,72,72
3805,2015,E,Construction,g_100-199,Activity unit,63,COUNT,73,73
3806,2015,E,Construction,h_200+,Activity unit,39,COUNT,74,74
3845,2020,E,Construction,b_1-5,Activity unit,20400,COUNT,75,75
4014,2016,E,Construction,i_Industry_Total,Fixed tangible assets,7722,DOLLARS(millions),76,76
4039,2019,E,Construction,g_100-199,Fixed tangible assets,562,DOLLARS(millions),77,77
4041,2019,E,Construction,i_Industry_Total,Fixed tangible assets,11310,DOLLARS(millions),78,78
4243,2020,E,Construction,d_10-19,Salaries and wages paid,1995,DOLLARS(millions),79,79
4271,2012,E,Construction,e_20-49,Operating profit before tax,139,DOLLARS(millions),80,80
4281,2013,E,Construction,f_50-99,Operating profit before tax,103,DOLLARS(millions),81,81
4297,2015,E,Construction,d_10-19,Operating profit before tax,228,DOLLARS(millions),82,82
4313,2017,E,Construction,b_1-5,Operating profit before tax,1095,DOLLARS(millions),83,83
4343,2020,E,Construction,e_20-49,Operating profit before tax,522,DOLLARS(millions),84,84
4405,2016,E,Construction,d_10-19,"Sales, government funding, grants and subsidies",5499,DOLLARS(millions),85,85
4434,2019,E,Construction,f_50-99,"Sales, government funding, grants and subsidies",4939,DOLLARS(millions),86,86
4482,2013,F,Wholesale Trade,i_Industry_Total,Total assets,38266,DOLLARS(millions),87,87
4489,2014,F,Wholesale Trade,g_100-199,Total assets,4722,DOLLARS(millions),88,88
4715,2017,F,Wholesale Trade,h_200+,Activity unit,57,COUNT,89,89
4745,2021,F,Wholesale Trade,b_1-5,Activity unit,5034,COUNT,90,90
4786,2014,F,Wholesale Trade,g_100-199,Total expenditure,7679,DOLLARS(millions),91,91
4793,2015,F,Wholesale Trade,e_20-49,Total expenditure,13603,DOLLARS(millions),92,92
4823,2018,F,Wholesale Trade,h_200+,Total expenditure,33751,DOLLARS(millions),93,93
4914,2017,F,Wholesale Trade,i_Industry_Total,Fixed tangible assets,5926,DOLLARS(millions),94,94
4963,2012,F,Wholesale Trade,d_10-19,Rolling mean employees,13068,COUNT,95,95
5070,2013,F,Wholesale Trade,c_6-9,Salaries and wages paid,478,DOLLARS(millions),96,96
5125,2019,F,Wholesale Trade,d_10-19,Salaries and wages paid,934,DOLLARS(millions),97,97
5131,2020,F,Wholesale Trade,a_0,Salaries and wages paid,451,DOLLARS(millions),98,98
5170,2013,F,Wholesale Trade,d_10-19,Operating profit before tax,299,DOLLARS(millions),99,99
5174,2013,F,Wholesale Trade,h_200+,Operating profit before tax,471,DOLLARS(millions),100,100
5191,2015,F,Wholesale Trade,g_100-199,Operating profit before tax,329,DOLLARS(millions),101,101
5360,2012,G,Retail Trade,e_20-49,Total assets,1501,DOLLARS(millions),102,102
5394,2016,G,Retail Trade,c_6-9,Total assets,1630,DOLLARS(millions),103,103
5397,2016,G,Retail Trade,f_50-99,Total assets,1698,DOLLARS(millions),104,104
5412,2018,G,Retail Trade,c_6-9,Total assets,1694,DOLLARS(millions),105,105
5486,2015,G,Retail Trade,e_20-49,Total income,6937,DOLLARS(millions),106,106
5524,2019,G,Retail Trade,g_100-199,Total income,9883,DOLLARS(millions),107,107
5551,2011,G,Retail Trade,g_100-199,Activity unit,162,COUNT,108,108
5599,2017,G,Retail Trade,a_0,Activity unit,11787,COUNT,109,109
5615,2018,G,Retail Trade,h_200+,Activity unit,129,COUNT,110,110
5657,2012,G,Retail Trade,e_20-49,Total expenditure,4873,DOLLARS(millions),111,111
5688,2015,G,Retail Trade,i_Industry_Total,Total expenditure,61139,DOLLARS(millions),112,112
5713,2018,G,Retail Trade,g_100-199,Total expenditure,9237,DOLLARS(millions),113,113
5723,2019,G,Retail Trade,h_200+,Total expenditure,26202,DOLLARS(millions),114,114
5729,2020,G,Retail Trade,e_20-49,Total expenditure,8499,DOLLARS(millions),115,115
5783,2015,G,Retail Trade,e_20-49,Fixed tangible assets,245,DOLLARS(millions),116,116
5796,2016,G,Retail Trade,i_Industry_Total,Fixed tangible assets,5547,DOLLARS(millions),117,117
5844,2011,G,Retail Trade,c_6-9,Rolling mean employees,14955,COUNT,118,118
5855,2012,G,Retail Trade,e_20-49,Rolling mean employees,15678,COUNT,119,119
5967,2013,G,Retail Trade,i_Industry_Total,Salaries and wages paid,6286,DOLLARS(millions),120,120
6013,2019,G,Retail Trade,a_0,Salaries and wages paid,341,DOLLARS(millions),121,121
6079,2015,G,Retail Trade,d_10-19,Operating profit before tax,209,DOLLARS(millions),122,122
6082,2015,G,Retail Trade,g_100-199,Operating profit before tax,223,DOLLARS(millions),123,123
6138,2021,G,Retail Trade,i_Industry_Total,Operating profit before tax,5022,DOLLARS(millions),124,124
6225,2020,G,Retail Trade,f_50-99,"Sales, government funding, grants and subsidies",7546,DOLLARS(millions),125,125
6280,2015,H,Accommodation and Food Services,g_100-199,Total assets,1211,DOLLARS(millions),126,126
6291,2016,H,Accommodation and Food Services,i_Industry_Total,Total assets,13676,DOLLARS(millions),127,127
6300,2017,H,Accommodation and Food Services,i_Industry_Total,Total assets,14992,DOLLARS(millions),128,128
6327,2020,H,Accommodation and Food Services,i_Industry_Total,Total assets,20293,DOLLARS(millions),129,129
6452,2012,H,Accommodation and Food Services,h_200+,Activity unit,27,COUNT,130,130
6566,2014,H,Accommodation and Food Services,e_20-49,Total expenditure,1793,DOLLARS(millions),131,131
6628,2021,H,Accommodation and Food Services,d_10-19,Total expenditure,2868,DOLLARS(millions),132,132
6912,2019,H,Accommodation and Food Services,i_Industry_Total,Salaries and wages paid,4743,DOLLARS(millions),133,133
6949,2013,H,Accommodation and Food Services,a_0,Operating profit before tax,35,DOLLARS(millions),134,134
6989,2017,H,Accommodation and Food Services,e_20-49,Operating profit before tax,184,DOLLARS(millions),135,135
7007,2019,H,Accommodation and Food Services,e_20-49,Operating profit before tax,181,DOLLARS(millions),136,136
7018,2020,H,Accommodation and Food Services,g_100-199,Operating profit before tax,135,DOLLARS(millions),137,137
7077,2016,H,Accommodation and Food Services,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions),138,138
7100,2018,H,Accommodation and Food Services,h_200+,"Sales, government funding, grants and subsidies",2380,DOLLARS(millions),139,139
7170,2015,I,"Transport, Postal and Warehousing",f_50-99,Total assets,2232,DOLLARS(millions),140,140
7195,2018,I,"Transport, Postal and Warehousing",d_10-19,Total assets,1549,DOLLARS(millions),141,141
7196,2018,I,"Transport, Postal and Warehousing",e_20-49,Total assets,2459,DOLLARS(millions),142,142
7203,2019,I,"Transport, Postal and Warehousing",c_6-9,Total assets,943,DOLLARS(millions),143,143
7211,2020,I,"Transport, Postal and Warehousing",b_1-5,Total assets,2099,DOLLARS(millions),144,144
7233,2011,I,"Transport, Postal and Warehousing",f_50-99,Total income,1705,DOLLARS(millions),145,145
7270,2015,I,"Transport, Postal and Warehousing",g_100-199,Total income,1993,DOLLARS(millions),146,146
7286,2017,I,"Transport, Postal and Warehousing",e_20-49,Total income,2189,DOLLARS(millions),147,147
7317,2020,I,"Transport, Postal and Warehousing",i_Industry_Total,Total income,27359,DOLLARS(millions),148,148
7535,2012,I,"Transport, Postal and Warehousing",b_1-5,Fixed tangible assets,625,DOLLARS(millions),149,149
7594,2018,I,"Transport, Postal and Warehousing",g_100-199,Fixed tangible assets,1962,DOLLARS(millions),150,150
7635,2012,I,"Transport, Postal and Warehousing",c_6-9,Rolling mean employees,4215,COUNT,151,151
7667,2015,I,"Transport, Postal and Warehousing",h_200+,Rolling mean employees,41910,COUNT,152,152
7750,2014,I,"Transport, Postal and Warehousing",a_0,Salaries and wages paid,120,DOLLARS(millions),153,153
7817,2021,I,"Transport, Postal and Warehousing",e_20-49,Salaries and wages paid,719,DOLLARS(millions),154,154
7838,2012,I,"Transport, Postal and Warehousing",h_200+,Operating profit before tax,775,DOLLARS(millions),155,155
7948,2014,I,"Transport, Postal and Warehousing",a_0,"Sales, government funding, grants and subsidies",1450,DOLLARS(millions),156,156
7983,2017,I,"Transport, Postal and Warehousing",i_Industry_Total,"Sales, government funding, grants and subsidies",23875,DOLLARS(millions),157,157
7993,2019,I,"Transport, Postal and Warehousing",a_0,"Sales, government funding, grants and subsidies",2003,DOLLARS(millions),158,158
8099,2019,J,Information Media and Telecommunications,h_200+,Total assets,17974,DOLLARS(millions),159,159
8199,2019,J,Information Media and Telecommunications,i_Industry_Total,Total income,14249,DOLLARS(millions),160,160
8222,2011,J,Information Media and Telecommunications,e_20-49,Activity unit,33,COUNT,161,161
8271,2016,J,Information Media and Telecommunications,i_Industry_Total,Activity unit,5250,COUNT,162,162
8286,2018,J,Information Media and Telecommunications,f_50-99,Activity unit,27,COUNT,163,163
8323,2011,J,Information Media and Telecommunications,g_100-199,Total expenditure,269,DOLLARS(millions),164,164
8534,2013,J,Information Media and Telecommunications,b_1-5,Rolling mean employees,1932,COUNT,165,165
8643,2014,J,Information Media and Telecommunications,c_6-9,Salaries and wages paid,60,DOLLARS(millions),166,166
8655,2015,J,Information Media and Telecommunications,f_50-99,Salaries and wages paid,99,DOLLARS(millions),167,167
8676,2017,J,Information Media and Telecommunications,i_Industry_Total,Salaries and wages paid,2362,DOLLARS(millions),168,168
8685,2018,J,Information Media and Telecommunications,i_Industry_Total,Salaries and wages paid,2436,DOLLARS(millions),169,169
8773,2017,J,Information Media and Telecommunications,g_100-199,Operating profit before tax,C,DOLLARS(millions),170,170
8805,2021,J,Information Media and Telecommunications,c_6-9,Operating profit before tax,-4,DOLLARS(millions),171,171
8893,2020,J,Information Media and Telecommunications,a_0,"Sales, government funding, grants and subsidies",1242,DOLLARS(millions),172,172
8908,2021,J,Information Media and Telecommunications,g_100-199,"Sales, government funding, grants and subsidies",466,DOLLARS(millions),173,173
8963,2016,K,Financial and Insurance Services,h_200+,Total assets,573123,DOLLARS(millions),174,174
8971,2017,K,Financial and Insurance Services,g_100-199,Total assets,7741,DOLLARS(millions),175,175
9085,2019,K,Financial and Insurance Services,d_10-19,Total income,1411,DOLLARS(millions),176,176
9107,2021,K,Financial and Insurance Services,h_200+,Total income,30762,DOLLARS(millions),177,177
9135,2013,K,Financial and Insurance Services,i_Industry_Total,Activity unit,28491,COUNT,178,178
9203,2021,K,Financial and Insurance Services,e_20-49,Activity unit,84,COUNT,179,179
9343,2015,K,Financial and Insurance Services,a_0,Fixed tangible assets,18031,DOLLARS(millions),180,180
9354,2016,K,Financial and Insurance Services,c_6-9,Fixed tangible assets,57,DOLLARS(millions),181,181
9398,2021,K,Financial and Insurance Services,b_1-5,Fixed tangible assets,796,DOLLARS(millions),182,182
9457,2016,K,Financial and Insurance Services,g_100-199,Rolling mean employees,4032,COUNT,183,183
9517,2012,K,Financial and Insurance Services,d_10-19,Salaries and wages paid,197,DOLLARS(millions),184,184
9529,2013,K,Financial and Insurance Services,g_100-199,Salaries and wages paid,358,DOLLARS(millions),185,185
9577,2019,K,Financial and Insurance Services,a_0,Salaries and wages paid,492,DOLLARS(millions),186,186
9771,2018,K,Financial and Insurance Services,f_50-99,"Sales, government funding, grants and subsidies",936,DOLLARS(millions),187,187
9832,2014,L,"Rental, Hiring and Real Estate Services",d_10-19,Total assets,1370,DOLLARS(millions),188,188
9911,2012,L,"Rental, Hiring and Real Estate Services",b_1-5,Total income,2570,DOLLARS(millions),189,189
9938,2015,L,"Rental, Hiring and Real Estate Services",b_1-5,Total income,3121,DOLLARS(millions),190,190
10003,2011,L,"Rental, Hiring and Real Estate Services",d_10-19,Activity unit,219,COUNT,191,191
10038,2015,L,"Rental, Hiring and Real Estate Services",c_6-9,Activity unit,666,COUNT,192,192
10098,2021,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Activity unit,78699,COUNT,193,193
10108,2012,L,"Rental, Hiring and Real Estate Services",a_0,Total expenditure,9562,DOLLARS(millions),194,194
10110,2012,L,"Rental, Hiring and Real Estate Services",c_6-9,Total expenditure,525,DOLLARS(millions),195,195
10140,2015,L,"Rental, Hiring and Real Estate Services",f_50-99,Total expenditure,449,DOLLARS(millions),196,196
10215,2012,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Fixed tangible assets,121791,DOLLARS(millions),197,197
10227,2014,L,"Rental, Hiring and Real Estate Services",c_6-9,Fixed tangible assets,1244,DOLLARS(millions),198,198
10273,2019,L,"Rental, Hiring and Real Estate Services",d_10-19,Fixed tangible assets,1029,DOLLARS(millions),199,199
10283,2020,L,"Rental, Hiring and Real Estate Services",e_20-49,Fixed tangible assets,722,DOLLARS(millions),200,200
10302,2011,L,"Rental, Hiring and Real Estate Services",f_50-99,Rolling mean employees,2136,COUNT,201,201
10374,2019,L,"Rental, Hiring and Real Estate Services",f_50-99,Rolling mean employees,1914,COUNT,202,202
10441,2016,L,"Rental, Hiring and Real Estate Services",a_0,Salaries and wages paid,511,DOLLARS(millions),203,203
10476,2019,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Salaries and wages paid,2658,DOLLARS(millions),204,204
10528,2014,L,"Rental, Hiring and Real Estate Services",g_100-199,Operating profit before tax,117,DOLLARS(millions),205,205
10585,2021,L,"Rental, Hiring and Real Estate Services",a_0,Operating profit before tax,8353,DOLLARS(millions),206,206
10737,2015,M,"Professional, Scientific and Technical Services",i_Industry_Total,Total assets,55761,DOLLARS(millions),207,207
10739,2016,M,"Professional, Scientific and Technical Services",b_1-5,Total assets,3887,DOLLARS(millions),208,208
10760,2018,M,"Professional, Scientific and Technical Services",e_20-49,Total assets,5490,DOLLARS(millions),209,209
10788,2021,M,"Professional, Scientific and Technical Services",f_50-99,Total assets,4352,DOLLARS(millions),210,210
10834,2015,M,"Professional, Scientific and Technical Services",g_100-199,Total income,2331,DOLLARS(millions),211,211
10912,2013,M,"Professional, Scientific and Technical Services",d_10-19,Activity unit,1425,COUNT,212,212
10922,2014,M,"Professional, Scientific and Technical Services",e_20-49,Activity unit,813,COUNT,213,213
11037,2016,M,"Professional, Scientific and Technical Services",c_6-9,Total expenditure,2281,DOLLARS(millions),214,214
11063,2019,M,"Professional, Scientific and Technical Services",b_1-5,Total expenditure,5053,DOLLARS(millions),215,215
11065,2019,M,"Professional, Scientific and Technical Services",d_10-19,Total expenditure,4114,DOLLARS(millions),216,216
11067,2019,M,"Professional, Scientific and Technical Services",f_50-99,Total expenditure,3147,DOLLARS(millions),217,217
11148,2017,M,"Professional, Scientific and Technical Services",f_50-99,Fixed tangible assets,326,DOLLARS(millions),218,218
11212,2013,M,"Professional, Scientific and Technical Services",g_100-199,Rolling mean employees,9066,COUNT,219,219
11217,2014,M,"Professional, Scientific and Technical Services",c_6-9,Rolling mean employees,12720,COUNT,220,220
11235,2016,M,"Professional, Scientific and Technical Services",c_6-9,Rolling mean employees,14421,COUNT,221,221
11283,2021,M,"Professional, Scientific and Technical Services",f_50-99,Rolling mean employees,18036,COUNT,222,222
11293,2011,M,"Professional, Scientific and Technical Services",g_100-199,Salaries and wages paid,539,DOLLARS(millions),223,223
11432,2016,M,"Professional, Scientific and Technical Services",b_1-5,Operating profit before tax,718,DOLLARS(millions),224,224
11477,2021,M,"Professional, Scientific and Technical Services",b_1-5,Operating profit before tax,935,DOLLARS(millions),225,225
11515,2014,M,"Professional, Scientific and Technical Services",d_10-19,"Sales, government funding, grants and subsidies",3266,DOLLARS(millions),226,226
11633,2016,N,Administrative and Support Services,e_20-49,Total assets,938,DOLLARS(millions),227,227
11647,2018,N,Administrative and Support Services,a_0,Total assets,2335,DOLLARS(millions),228,228
11798,2012,N,Administrative and Support Services,h_200+,Activity unit,60,COUNT,229,229
11868,2020,N,Administrative and Support Services,f_50-99,Activity unit,177,COUNT,230,230
11886,2011,N,Administrative and Support Services,f_50-99,Total expenditure,573,DOLLARS(millions),231,231
11898,2012,N,Administrative and Support Services,i_Industry_Total,Total expenditure,8201,DOLLARS(millions),232,232
11905,2013,N,Administrative and Support Services,g_100-199,Total expenditure,597,DOLLARS(millions),233,233
11909,2014,N,Administrative and Support Services,b_1-5,Total expenditure,912,DOLLARS(millions),234,234
11931,2016,N,Administrative and Support Services,f_50-99,Total expenditure,643,DOLLARS(millions),235,235
11999,2013,N,Administrative and Support Services,b_1-5,Fixed tangible assets,306,DOLLARS(millions),236,236
12030,2016,N,Administrative and Support Services,f_50-99,Fixed tangible assets,162,DOLLARS(millions),237,237
12048,2018,N,Administrative and Support Services,f_50-99,Fixed tangible assets,239,DOLLARS(millions),238,238
12112,2014,N,Administrative and Support Services,g_100-199,Rolling mean employees,11421,COUNT,239,239
12121,2015,N,Administrative and Support Services,g_100-199,Rolling mean employees,11343,COUNT,240,240
12147,2018,N,Administrative and Support Services,f_50-99,Rolling mean employees,9963,COUNT,241,241
12171,2021,N,Administrative and Support Services,c_6-9,Rolling mean employees,4878,COUNT,242,242
12251,2019,N,Administrative and Support Services,b_1-5,Salaries and wages paid,438,DOLLARS(millions),243,243
12369,2021,N,Administrative and Support Services,c_6-9,Operating profit before tax,58,DOLLARS(millions),244,244
12388,2012,N,Administrative and Support Services,d_10-19,"Sales, government funding, grants and subsidies",609,DOLLARS(millions),245,245
12412,2015,N,Administrative and Support Services,a_0,"Sales, government funding, grants and subsidies",1443,DOLLARS(millions),246,246
12455,2019,N,Administrative and Support Services,h_200+,"Sales, government funding, grants and subsidies",3998,DOLLARS(millions),247,247
12461,2020,N,Administrative and Support Services,e_20-49,"Sales, government funding, grants and subsidies",1455,DOLLARS(millions),248,248
12488,2012,O,Public Administration and Safety,e_20-49,Total assets,39,DOLLARS(millions),249,249
12616,2015,O,Public Administration and Safety,g_100-199,Total income,58,DOLLARS(millions),250,250
12617,2015,O,Public Administration and Safety,h_200+,Total income,627,DOLLARS(millions),251,251
12707,2014,O,Public Administration and Safety,h_200+,Activity unit,12,COUNT,252,252
12723,2016,O,Public Administration and Safety,f_50-99,Activity unit,9,COUNT,253,253
12754,2020,O,Public Administration and Safety,a_0,Activity unit,516,COUNT,254,254
12803,2014,O,Public Administration and Safety,e_20-49,Total expenditure,79,DOLLARS(millions),255,255
12840,2018,O,Public Administration and Safety,f_50-99,Total expenditure,69,DOLLARS(millions),256,256
12865,2021,O,Public Administration and Safety,d_10-19,Total expenditure,81,DOLLARS(millions),257,257
12980,2012,O,Public Administration and Safety,b_1-5,Rolling mean employees,762,COUNT,258,258
13006,2015,O,Public Administration and Safety,a_0,Rolling mean employees,0,COUNT,259,259
13224,2017,O,Public Administration and Safety,c_6-9,Operating profit before tax,4,DOLLARS(millions),260,260
13317,2016,O,Public Administration and Safety,f_50-99,"Sales, government funding, grants and subsidies",43,DOLLARS(millions),261,261
13332,2018,O,Public Administration and Safety,c_6-9,"Sales, government funding, grants and subsidies",74,DOLLARS(millions),262,262
13339,2019,O,Public Administration and Safety,a_0,"Sales, government funding, grants and subsidies",143,DOLLARS(millions),263,263
13394,2014,P,Education and Training,b_1-5,Total assets,323,DOLLARS(millions),264,264
13418,2016,P,Education and Training,h_200+,Total assets,1875,DOLLARS(millions),265,265
13468,2011,P,Education and Training,d_10-19,Total income,467,DOLLARS(millions),266,266
13489,2013,P,Education and Training,g_100-199,Total income,456,DOLLARS(millions),267,267
13534,2018,P,Education and Training,g_100-199,Total income,517,DOLLARS(millions),268,268
13600,2015,P,Education and Training,a_0,Activity unit,2526,COUNT,269,269
13648,2020,P,Education and Training,d_10-19,Activity unit,663,COUNT,270,270
13675,2012,P,Education and Training,d_10-19,Total expenditure,412,DOLLARS(millions),271,271
13744,2020,P,Education and Training,a_0,Total expenditure,414,DOLLARS(millions),272,272
13764,2011,P,Education and Training,c_6-9,Fixed tangible assets,79,DOLLARS(millions),273,273
13765,2011,P,Education and Training,d_10-19,Fixed tangible assets,204,DOLLARS(millions),274,274
13776,2012,P,Education and Training,f_50-99,Fixed tangible assets,132,DOLLARS(millions),275,275
13816,2017,P,Education and Training,a_0,Fixed tangible assets,204,DOLLARS(millions),276,276
13842,2019,P,Education and Training,i_Industry_Total,Fixed tangible assets,3107,DOLLARS(millions),277,277
13914,2016,P,Education and Training,i_Industry_Total,Rolling mean employees,47937,COUNT,278,278
13940,2019,P,Education and Training,h_200+,Rolling mean employees,15975,COUNT,279,279
13988,2014,P,Education and Training,b_1-5,Salaries and wages paid,115,DOLLARS(millions),280,280
14010,2016,P,Education and Training,f_50-99,Salaries and wages paid,256,DOLLARS(millions),281,281
14036,2019,P,Education and Training,e_20-49,Salaries and wages paid,340,DOLLARS(millions),282,282
14119,2017,P,Education and Training,g_100-199,Operating profit before tax,61,DOLLARS(millions),283,283
14191,2014,P,Education and Training,g_100-199,"Sales, government funding, grants and subsidies",484,DOLLARS(millions),284,284
14228,2018,P,Education and Training,h_200+,"Sales, government funding, grants and subsidies",1107,DOLLARS(millions),285,285
14230,2019,P,Education and Training,a_0,"Sales, government funding, grants and subsidies",412,DOLLARS(millions),286,286
14248,2021,P,Education and Training,a_0,"Sales, government funding, grants and subsidies",475,DOLLARS(millions),287,287
